,year_of_reference,month_of_reference,fipe_code,authentication,brand,model,fuel,gear,engine_size,year_model,avg_price_brl,age_years
count,290275.0,290267,290267,290252,290244,290267,290267,290267,290267.0,290275.0,290275.0,290274.0
unique,,12,5903,290250,86,6064,3,2,,,,
top,,November,039001-1,3r6c277cnqcb,GM - Chevrolet,Buggy/M-8/M-8 Long 1.6,Gasoline,manual,,,,
freq,,24366,443,2,28179,443,238774,210283,,,,
mean,2022.0,,,,,,,,2.2660323081852227,2008.8966325036604,122087.20618379123,14.103402302651977
std,0.0,,,,,,,,1.0331194266838748,9.26361891155852,321913.88619752746,9.263615887407521
min,2022.0,,,,,,,,0.7,1985.0,1831.0,0.0
25%,2022.0,,,,,,,,1.6,2001.0,21875.0,7.0
50%,2022.0,,,,,,,,2.0,2010.0,46836.0,13.0
75%,2022.0,,,,,,,,2.8,2016.0,106165.0,22.0
max,2022.0,,,,,,,,6.7,2023.0,8600000.0,38.0
